Gene ID
3300005326 assembled Ga0074195_100171810
3300005326 assembled Ga0074195_10109535
3300005326 assembled Ga0074195_10120201
3300005326 assembled Ga0074195_10212972
3300005326 assembled Ga0074195_10363842
3300005403 assembled Ga0074197_100012231
3300005403 assembled Ga0074197_100017431
3300005323 assembled Ga0074198_1000021321
3300005323 assembled Ga0074198_1000041223
3300005323 assembled Ga0074198_1000073125
3300005323 assembled Ga0074198_100009093
3300005323 assembled Ga0074198_100009253
3300005323 assembled Ga0074198_100010638
3300005323 assembled Ga0074198_100014770
3300005323 assembled Ga0074198_100032126
3300005323 assembled Ga0074198_100033517
3300005323 assembled Ga0074198_100062314
3300005323 assembled Ga0074198_100075210
3300005323 assembled Ga0074198_10017007
3300005323 assembled Ga0074198_10033079
3300005325 assembled Ga0074199_100005144
3300005325 assembled Ga0074199_1000091100
3300005325 assembled Ga0074199_1000134188
3300005325 assembled Ga0074199_100045132
3300005325 assembled Ga0074199_100139810
3300005325 assembled Ga0074199_10017502
3300005325 assembled Ga0074199_10031831
3300005325 assembled Ga0074199_10056491
3300005325 assembled Ga0074199_10063451
3300005325 assembled Ga0074199_10082641
3300005325 assembled Ga0074199_10087231
3300005692 assembled Ga0074219_1063807
3300005697 assembled Ga0074229_1070321
3300005504 assembled Ga0074230_16569152
3300005362 assembled Ga0074254_113004867
3300005443 assembled Ga0074258_10100342
3300005443 assembled Ga0074258_10147811
3300005373 assembled Ga0074260_10334
3300005373 assembled Ga0074260_1063
3300005373 assembled Ga0074260_10836
3300005373 assembled Ga0074260_1121
3300005373 assembled Ga0074260_1176
3300005373 assembled Ga0074260_1243
3300005373 assembled Ga0074260_1264
3300005373 assembled Ga0074260_13936
3300005373 assembled Ga0074260_14532
3300005373 assembled Ga0074260_15228
3300005373 assembled Ga0074260_1578
3300005716 assembled Ga0074279_1001647
3300005472 assembled Ga0074280_13113
3300005667 assembled Ga0074305_1257140
3300006033 assembled Ga0075012_102256201
3300005919 assembled Ga0075114_1000039324
3300005917 assembled Ga0075115_100004056
3300005917 assembled Ga0075115_100065192
3300005939 assembled Ga0075123_1000027224
3300005939 assembled Ga0075123_100005456
3300005936 assembled Ga0075124_100018687
3300005936 assembled Ga0075124_100031115
3300005936 assembled Ga0075124_100535391
3300014258 assembled Ga0075315_10004862
3300014314 assembled Ga0075316_10116741
3300014309 assembled Ga0075317_10017633
3300014256 assembled Ga0075318_10007854
3300014257 assembled Ga0075319_10013663
3300014257 assembled Ga0075319_10026562
3300014255 assembled Ga0075320_10037152
3300014301 assembled Ga0075323_10008724
3300014266 assembled Ga0075359_10021471
3300014261 assembled Ga0075360_10051721
3300014261 assembled Ga0075360_10083301
3300006972 assembled Ga0075518_10079391
3300006972 assembled Ga0075518_10234271
3300009010 assembled Ga0075519_10015901
3300006795 assembled Ga0075520_10082265
3300006795 assembled Ga0075520_10087021
3300006795 assembled Ga0075520_10111606
3300006795 assembled Ga0075520_10611381
3300006950 assembled Ga0075524_100020425
3300006950 assembled Ga0075524_100532841
3300006950 assembled Ga0075524_100598621
3300006636 assembled Ga0075525_100014076
3300006949 assembled Ga0075528_100222611
3300006619 assembled Ga0075529_10031581
3300005723 assembled Ga0076816_100938534
3300005723 assembled Ga0076816_100938941
3300005723 assembled Ga0076816_104201301
3300005730 assembled Ga0076946_1206471
3300005645 assembled Ga0077109_10003761
3300005645 assembled Ga0077109_10006149
3300005645 assembled Ga0077109_10008589
3300005745 assembled Ga0077123_1006663
3300005749 assembled Ga0077562_1149632
3300005823 assembled Ga0078745_10124582
3300005820 assembled Ga0078747_1001003
3300005573 assembled Ga0078972_100011284
3300005573 assembled Ga0078972_1000747111
3300005573 assembled Ga0078972_100176627
3300005573 assembled Ga0078972_10022689
3300005573 assembled Ga0078972_100248432
3300005573 assembled Ga0078972_100433334
3300005573 assembled Ga0078972_101124810
3300005573 assembled Ga0078972_10112485
3300006224 assembled Ga0079037_1001479712
3300006634 assembled Ga0079290_1005003
3300006930 assembled Ga0079303_100186022
3300007961 assembled Ga0079305_1000014264
3300007961 assembled Ga0079305_100009220
3300007961 assembled Ga0079305_100013499
3300007961 assembled Ga0079305_100032891
3300007961 assembled Ga0079305_100067411
3300005782 assembled Ga0079367_10632581
3300005800 assembled Ga0079639_10012635
3300005801 assembled Ga0079640_10015757
3300005804 assembled Ga0079955_10009751
3300005860 assembled Ga0080004_10982781
3300005860 assembled Ga0080004_111372718
3300005860 assembled Ga0080004_111372723
3300005860 assembled Ga0080004_112079575
3300005860 assembled Ga0080004_113416547
3300005860 assembled Ga0080004_115895214
3300005882 assembled Ga0080455_100073820
3300005882 assembled Ga0080455_10048688
3300005882 assembled Ga0080455_10125452
3300005882 assembled Ga0080455_10138801
3300006064 assembled Ga0081375_1051911
3300006064 assembled Ga0081375_1067431
3300006065 assembled Ga0081425_1202432
3300006065 assembled Ga0081425_1360439
3300006081 assembled Ga0081760_10008181
3300006083 assembled Ga0081762_10162391
3300006083 assembled Ga0081762_10460991
3300006092 assembled Ga0082021_11864427
3300006094 assembled Ga0082037_1000003189
