Gene ID
3300035494 assembled Ga0100195_1157042
3300035493 assembled Ga0100195_1157082
3300035492 assembled Ga0100196_1002174
3300035102 assembled Ga0100240_11429312
3300034685 assembled Ga0100240_1142951
3300033986 assembled Ga0100240_11509445
3300031260 assembled Ga0100240_1175877
3300031260 assembled Ga0100240_11758815
3300028601 assembled Ga0100240_1187333
3300027784 assembled Ga0100240_1187352
3300022241 assembled Ga0100241_10847374
3300022181 assembled Ga0100241_10857027
3300017922 assembled Ga0100242_1144322
3300014491 assembled Ga0100242_1144332
3300013881 assembled Ga0100242_1144352
3300011965 assembled Ga0100242_1144382
3300010428 assembled Ga0100242_1144391
3300010287 assembled Ga0100242_11467542
3300010285 assembled Ga0100964_1019996
3300010281 assembled Ga0100964_1073372
3300010277 assembled Ga0100964_1099133
3300010274 assembled Ga0100964_1174031
3300010269 assembled Ga0100964_12057969
3300010267 assembled Ga0101722_1043392
3300010011 assembled Ga0101734_1072881
3300009761 assembled Ga0101734_1087611
3300009694 assembled Ga0101735_1002074
3300009663 assembled Ga0101735_1081201
3300009657 assembled Ga0101737_1036491
3300009653 assembled Ga0101737_1041862
3300009648 assembled Ga0101750_1025241
3300009494 assembled Ga0101751_1046741
3300009029 assembled Ga0101753_1038061
3300008978 assembled Ga0101754_1041541
3300007961 assembled Ga0102488_1003001
3300006895 assembled Ga0102490_1008094
3300006892 assembled Ga0102494_1002601
3300006885 assembled Ga0102494_1013032
3300005405 assembled Ga0102512_100022130
3300005263 assembled Ga0102512_10004546
3300002164 assembled Ga0102512_1058421
3300002163 assembled Ga0102513_1041672
3300001914 assembled Ga0102514_10003030
2225789003 assembled Ga0102514_10016918
8065526034 assembled Ga0102514_1017685
8065521985 assembled Ga0102515_10004230
8058277637 assembled Ga0102515_1007718
8055430984 assembled Ga0102515_1012952
8001973992 assembled Ga0102600_1009783
3300048574 assembled Ga0102602_1007995
3300043168 assembled Ga0102602_1040152
3300043116 assembled Ga0102602_1048051
3300042659 assembled Ga0102603_1051221
3300042267 assembled Ga0102606_1003045
3300042259 assembled Ga0102606_1030082
3300042258 assembled Ga0102617_1007665
3300036942 assembled Ga0102851_102007261
3300035539 assembled Ga0102925_100021510
3300035530 assembled Ga0102926_10001129
3300035524 assembled Ga0102928_10964761
3300035050 assembled Ga0102929_10224072
3300035038 assembled Ga0102931_10319812
3300034521 assembled Ga0102943_10214341
3300033999 assembled Ga0102944_10711571
3300033985 assembled Ga0103359_1132182
3300032096 assembled Ga0104830_10003278
3300031926 assembled Ga0105091_100027571
3300031806 assembled Ga0105092_100838171
3300031485 assembled Ga0105094_100203072
3300029892 assembled Ga0105095_100037148
3300027640 assembled Ga0105097_100172865
3300026157 assembled Ga0105099_100291992
3300025143 assembled Ga0105099_101244141
3300017923 assembled Ga0105100_100162271
3300010291 assembled Ga0105100_100247345
3300010286 assembled Ga0105100_101493201
3300010273 assembled Ga0105101_100077635
3300010263 assembled Ga0105102_100560662
3300009708 assembled Ga0105103_1000090612
3300009668 assembled Ga0105103_1000246211
3300009556 assembled Ga0105103_100056427
3300009358 assembled Ga0105103_100108244
3300008940 assembled Ga0105103_100935862
3300006997 assembled Ga0105104_100875651
3300006795 assembled Ga0105104_101061331
3300005252 assembled Ga0105104_101500271
3300005145 assembled Ga0105107_100140735
3300003369 assembled Ga0105107_102637901
3300002963 assembled Ga0105152_100029366
3300002898 assembled Ga0105152_100072104
3300001674 assembled Ga0105152_100665431
3300001298 assembled Ga0105152_100767061
3001172668 assembled Ga0105155_10201152
